pasA1,NZ_CP062160.1,100,84,0,0,1,84,3132785,3132868,1.10e-34,156
pasA1,NZ_CP062160.1,91.892,74,6,0,11,84,2269337,2269410,4.05e-19,104
pasA1,NZ_CP062160.1,94.118,68,4,0,17,84,2724616,2724549,4.05e-19,104
pasA1,NZ_CP030939.1,100,84,0,0,1,84,3351122,3351205,1.10e-34,156
pasA1,NZ_CP030939.1,91.892,74,6,0,11,84,3189332,3189405,4.05e-19,104
pasA1,NZ_CP028429.1,100,84,0,0,1,84,861495,861412,1.10e-34,156
pasA1,NZ_CP028429.1,100,84,0,0,1,84,1115679,1115596,1.10e-34,156
pasA1,NZ_CP028429.1,100,84,0,0,1,84,1367122,1367039,1.10e-34,156
pasA1,NZ_CP028429.1,94.118,68,4,0,17,84,4837887,4837820,4.05e-19,104
pasA1,NZ_CP012693.1,100,84,0,0,1,84,2313923,2313840,1.10e-34,156
pasA1,NZ_CP012693.1,100,84,0,0,1,84,3849140,3849223,1.10e-34,156
pasA1,NZ_CP012693.1,91.892,74,6,0,11,84,3568630,3568703,4.05e-19,104
pasA1,NZ_CP027219.1,100,84,0,0,1,84,3510935,3511018,1.10e-34,156
pasA1,NZ_CP027219.1,91.892,74,6,0,11,84,3212787,3212860,4.05e-19,104
pasA1,NZ_CP027219.1,100,52,0,0,1,52,1933858,1933807,6.78e-17,97.1
pasA1,NZ_CP027219.1,100,37,0,0,48,84,1932544,1932508,1.48e-08,69.4
pasA1,NZ_CP027325.1,100,84,0,0,1,84,1825567,1825484,1.10e-34,156
pasA1,NZ_CP027325.1,94.118,68,4,0,17,84,2979747,2979680,4.05e-19,104
pasA1,NZ_CP027577.1,100,84,0,0,1,84,2402687,2402604,1.10e-34,156
pasA1,NZ_CP027577.1,100,84,0,0,1,84,3336537,3336454,1.10e-34,156
pasA1,NZ_CP027577.1,94.118,68,4,0,17,84,2989848,2989781,4.05e-19,104
pasA1,NZ_CP027577.1,91.892,74,6,0,11,84,3597795,3597868,4.05e-19,104
pasA1,NZ_CP027380.1,100,84,0,0,1,84,2914108,2914191,1.10e-34,156
